Kilpailujärjestys,Nimi,Yhdistys,Sarja,Aika,Full Pull,Ajoneuvon massa,Pisteet
1,Heidi Reijo,Lahden Reserviläiset,-75kg,00:23.88,X,1800kg,1
2,Ella Kangas,Kauhavan Reserviläiset,-75kg,00:25.00,X,1800kg,3
3,Anne Haapamäki,Kuortaneen Reserviläiset,-75kg,00:24.54,X,1800kg,2
1,Jarkko Eeli,Ylihärmän Reserviläiset,-80kg,00:45.38,X,5500kg,2
2,Frank Hagström,Kokkolan Reserviläiset,-80kg,00:55.19,X,5500kg,3
3,Eric Andersson,Orimattilan Reserviläiset,-80kg,00:36.06,X,5500kg,1
1,Miika Kajavalta,Jyväskylänseudun Reserviläiset,-100kg,00:42.97,X,5500kg,5
2,Lasse Lehtonen,Vaasan Opiskelevat Reserviupseerit,-100kg,00:51.22,X,5500kg,7
3,Miika Hahto,Vaasan Opiskelevat Reserviupseerit,-100kg,00:42.34,X,5500kg,4
4,Paul Sneck,Rauman Reserviläiset,-100kg,00:37.50,X,5500kg,3
5,Janne Vitikka,Rovaniemen Reserviläiset,-100kg,00:33.54,X,5500kg,1
6,Ville Saranpää,Ilmajoen Reserviläiset,-100kg,00:50.87,X,5500kg,6
7,Petteri Mäntymaa,Akateeminen Maanpuolustusyhdistys,-100kg,00:35.44,X,5500kg,2
1,Jyri Hietanen,Lopen Reserviläiset,+100kg,00:35.37,X,5500kg,2
2,Aaro Mäki-Jouppila,Ilmajoen Reserviupseerikerho,+100kg,00:40.59,X,5500kg,5
3,Henrik Sadinmäki,Rovaniemen Reserviläiset,+100kg,00:43.53,X,5500kg,6
4,Henri Taussi,Kirkkonummen Reserviupseerikerho,+100kg,00:31.65,X,5500kg,1
5,Mikko Laaksonen,Uudenmaan Reserviläiset,+100kg,00:35.50,X,5500kg,3
6,Antti Roininen,Orimattilan Reserviläiset,+100kg,00:40.00,X,5500kg,4
7,Janne-Jukka Kojo,Helsingin Reserviläiset,+100kg,01:24.57,X,5500kg,7
