Kilpailujärjestys,Nimi,Yhdistys,Sarja,Metriä,Kannettava massa,Pisteet
1,Heidi Reijo,Lahden Reserviläiset,-75kg,118,50kg,1
2,Jutta Latvala,Seinäjoen Reserviläiset,-75kg,47,50kg,3
3,Anne Haapamäki,Kuortaneen Reserviläiset,-75kg,65,50kg,2
1,Tytti Becker,Alavuden Reserviläiset,+75kg,74,50kg,2
2,Anni Jaatinen,Revonlahden Reserviläiset,+75kg,110,50kg,1
1,Frank Hagström,Kokkolan Reserviläiset,-80kg,92,100kg,2
2,Jarkko Eeli,Ylihärmän Reserviläiset,-80kg,76,100kg,1
1,Miika Hahto,Vaasan Opiskelevat Reserviupseerit,-100kg,140,100kg,1
2,Petteri Mäntymaa,Akateeminen Maanpuolustusyhdistys,-100kg,125,100kg,2
3,Lasse Lehtonen,Vaasan Opiskelevat Reserviupseerit,-100kg,74,100kg,5
4,Jari Viertola,Isonkyrön Reserviläiset,-100kg,43,100kg,6
5,Jan-Anders Rönnskär,Pietarsaaren Seudun Reserviläiset,-100kg,106,100kg,3
6,Ville Saranpää,Ilmajoen Reserviläiset,-100kg,103,100kg,4
1,Mikko Reijonen,Rovaniemen Reserviläiset,+100kg,109,100kg,4
2,Aaro Mäki-Jouppila,Ilmajoen Reserviupseerikerho,+100kg,50,100kg,7
3,Henri Taussi,Kirkkonummen Reserviupseerikerho,+100kg,155,100kg,2
4,Jyri Hietanen,Lopen Reserviläiset,+100kg,162,100kg,1
5,Antti Roininen,Orimattilan Reserviläiset,+100kg,86,100kg,6
6,Mikko Laaksonen,Uudenmaan Reserviläiset,+100kg,128,100kg,3
7,Juho Korkeamaa,Raahen Reserviläiset,+100kg,103,100kg,5
